CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 0.218750 1683396837.9843
MEM 22.062500 1683396838.0892
MEM 22.156250 1683396838.1942
MEM 22.375000 1683396838.2993
MEM 22.578125 1683396838.4012
MEM 22.859375 1683396838.5063
MEM 23.171875 1683396838.6114
MEM 23.656250 1683396838.7115
MEM 24.234375 1683396838.8166
MEM 24.234375 1683396838.9168
MEM 24.234375 1683396839.0219
MEM 24.234375 1683396839.1271
MEM 24.234375 1683396839.2322
MEM 24.234375 1683396839.3372
MEM 24.234375 1683396839.4422
MEM 24.375000 1683396839.5473
MEM 24.375000 1683396839.6524
MEM 24.375000 1683396839.7574
MEM 24.375000 1683396839.8625
MEM 24.375000 1683396839.9626
MEM 24.375000 1683396840.0678
MEM 24.375000 1683396840.1729
MEM 24.375000 1683396840.2779
MEM 24.375000 1683396840.3830
MEM 24.375000 1683396840.4880
MEM 24.375000 1683396840.5931
MEM 24.375000 1683396840.6982
MEM 24.375000 1683396840.8033
MEM 24.375000 1683396840.9083
MEM 24.375000 1683396841.0135
MEM 24.375000 1683396841.1195
MEM 24.375000 1683396841.2246
MEM 24.375000 1683396841.3297
MEM 24.375000 1683396841.4348
MEM 24.375000 1683396841.5398
MEM 24.375000 1683396841.6449
MEM 24.375000 1683396841.7500
MEM 24.375000 1683396841.8550
MEM 24.375000 1683396841.9570
MEM 24.375000 1683396842.0620
MEM 24.375000 1683396842.1670
MEM 24.375000 1683396842.2721
MEM 24.375000 1683396842.3771
MEM 24.437500 1683396842.4788
MEM 24.437500 1683396842.5790
MEM 24.437500 1683396842.6841
MEM 24.437500 1683396842.7892
MEM 24.437500 1683396842.8895
MEM 24.437500 1683396842.9944
MEM 24.437500 1683396843.0985
MEM 24.437500 1683396843.2036
MEM 24.437500 1683396843.3088
MEM 24.437500 1683396843.4138
MEM 24.437500 1683396843.5189
MEM 24.437500 1683396843.6239
MEM 24.437500 1683396843.7291
MEM 24.437500 1683396843.8342
MEM 24.437500 1683396843.9392
MEM 24.437500 1683396844.0403
MEM 24.437500 1683396844.1453
MEM 24.437500 1683396844.2505
MEM 24.437500 1683396844.3556
MEM 24.437500 1683396844.4606
MEM 24.437500 1683396844.5657
MEM 24.437500 1683396844.6707
MEM 24.437500 1683396844.7758
MEM 24.437500 1683396844.8808
MEM 24.437500 1683396844.9859
MEM 24.437500 1683396845.0909
MEM 24.437500 1683396845.1959
MEM 24.437500 1683396845.2975
MEM 24.437500 1683396845.4026
MEM 24.437500 1683396845.5058
MEM 24.437500 1683396845.6059
MEM 24.437500 1683396845.7109
MEM 24.437500 1683396845.8161
MEM 24.437500 1683396845.9212
MEM 24.437500 1683396846.0263
MEM 24.437500 1683396846.1315
MEM 24.437500 1683396846.2366
MEM 24.437500 1683396846.3418
MEM 24.437500 1683396846.4469
MEM 24.437500 1683396846.5520
MEM 24.437500 1683396846.6572
MEM 24.437500 1683396846.7624
MEM 24.437500 1683396846.8675
MEM 24.437500 1683396846.9726
MEM 24.437500 1683396847.0777
MEM 24.437500 1683396847.1831
MEM 24.437500 1683396847.2882
MEM 24.437500 1683396847.3933
MEM 24.437500 1683396847.4984
MEM 24.437500 1683396847.6034
MEM 24.437500 1683396847.7085
MEM 24.437500 1683396847.8086
MEM 24.437500 1683396847.9087
MEM 24.437500 1683396848.0138
MEM 24.437500 1683396848.1188
MEM 24.437500 1683396848.2221
MEM 24.437500 1683396848.3271
MEM 24.437500 1683396848.4322
MEM 24.437500 1683396848.5373
MEM 24.437500 1683396848.6425
MEM 24.437500 1683396848.7475
MEM 24.437500 1683396848.8526
MEM 24.437500 1683396848.9577
MEM 24.437500 1683396849.0589
MEM 24.437500 1683396849.1639
MEM 24.437500 1683396849.2680
MEM 24.437500 1683396849.3681
MEM 24.437500 1683396849.4732
MEM 24.437500 1683396849.5783
MEM 24.437500 1683396849.6833
MEM 24.437500 1683396849.7884
MEM 24.437500 1683396849.8893
MEM 24.437500 1683396849.9943
MEM 24.437500 1683396850.0994
MEM 24.437500 1683396850.1995
MEM 24.437500 1683396850.3045
MEM 24.437500 1683396850.4095
MEM 24.437500 1683396850.5146
MEM 24.437500 1683396850.6197
MEM 24.437500 1683396850.7247
MEM 24.437500 1683396850.8298
MEM 24.437500 1683396850.9350
MEM 24.437500 1683396851.0401
MEM 24.437500 1683396851.1452
MEM 24.437500 1683396851.2503
MEM 24.437500 1683396851.3553
MEM 24.437500 1683396851.4604
MEM 24.437500 1683396851.5654
MEM 24.437500 1683396851.6705
MEM 24.437500 1683396851.7755
MEM 24.437500 1683396851.8756
MEM 24.437500 1683396851.9807
MEM 24.437500 1683396852.0858
MEM 24.437500 1683396852.1908
MEM 24.437500 1683396852.2959
MEM 24.437500 1683396852.3988
MEM 24.437500 1683396852.5039
MEM 24.437500 1683396852.6089
MEM 24.437500 1683396852.7140
MEM 24.437500 1683396852.8191
MEM 24.437500 1683396852.9242
MEM 24.437500 1683396853.0292
MEM 24.437500 1683396853.1343
MEM 24.437500 1683396853.2374
MEM 24.437500 1683396853.3425
MEM 24.437500 1683396853.4475
MEM 24.437500 1683396853.5525
MEM 24.437500 1683396853.6569
MEM 24.437500 1683396853.7620
MEM 24.437500 1683396853.8671
MEM 24.437500 1683396853.9722
MEM 24.437500 1683396854.0772
MEM 24.437500 1683396854.1823
MEM 24.437500 1683396854.2874
MEM 24.437500 1683396854.3924
MEM 24.437500 1683396854.4975
MEM 24.437500 1683396854.6025
MEM 24.437500 1683396854.7076
MEM 24.437500 1683396854.8126
MEM 24.437500 1683396854.9177
MEM 24.437500 1683396855.0227
MEM 24.437500 1683396855.1278
MEM 24.437500 1683396855.2328
MEM 24.437500 1683396855.3337
MEM 24.437500 1683396855.4387
MEM 24.437500 1683396855.5437
MEM 24.437500 1683396855.6488
MEM 24.437500 1683396855.7539
MEM 24.437500 1683396855.8589
MEM 24.437500 1683396855.9640
MEM 24.437500 1683396856.0690
MEM 24.437500 1683396856.1740
MEM 24.437500 1683396856.2791
MEM 24.437500 1683396856.3841
MEM 24.437500 1683396856.4892
MEM 24.437500 1683396856.5942
MEM 24.437500 1683396856.6966
MEM 24.437500 1683396856.8009
MEM 24.437500 1683396856.9060
MEM 24.437500 1683396857.0111
MEM 24.437500 1683396857.1161
MEM 24.437500 1683396857.2212
MEM 24.437500 1683396857.3223
MEM 24.437500 1683396857.4274
MEM 24.437500 1683396857.5324
MEM 24.437500 1683396857.6375
MEM 24.437500 1683396857.7390
MEM 24.437500 1683396857.8441
MEM 24.437500 1683396857.9493
MEM 24.437500 1683396858.0543
MEM 24.437500 1683396858.1594
MEM 24.437500 1683396858.2599
MEM 24.437500 1683396858.3651
MEM 24.437500 1683396858.4701
MEM 24.437500 1683396858.5751
MEM 24.437500 1683396858.6802
MEM 24.437500 1683396858.7807
MEM 24.437500 1683396858.8857
MEM 24.437500 1683396858.9868
MEM 24.437500 1683396859.0919
MEM 24.437500 1683396859.1969
MEM 24.437500 1683396859.3016
MEM 24.437500 1683396859.4067
MEM 24.437500 1683396859.5117
MEM 24.437500 1683396859.6168
MEM 24.437500 1683396859.7218
MEM 24.437500 1683396859.8265
MEM 24.437500 1683396859.9316
MEM 24.437500 1683396860.0367
MEM 24.437500 1683396860.1418
MEM 24.437500 1683396860.2468
MEM 24.437500 1683396860.3519
MEM 24.437500 1683396860.4522
MEM 24.437500 1683396860.5573
MEM 24.437500 1683396860.6623
MEM 24.437500 1683396860.7673
MEM 24.437500 1683396860.8725
MEM 24.437500 1683396860.9775
MEM 24.437500 1683396861.0826
MEM 24.437500 1683396861.1876
MEM 24.437500 1683396861.2927
MEM 24.437500 1683396861.3978
MEM 24.437500 1683396861.5029
MEM 24.437500 1683396861.6081
MEM 24.437500 1683396861.7083
MEM 24.437500 1683396861.8133
MEM 24.437500 1683396861.9184
MEM 24.437500 1683396862.0237
MEM 24.437500 1683396862.1288
MEM 24.437500 1683396862.2339
MEM 24.437500 1683396862.3391
MEM 24.437500 1683396862.4442
MEM 24.437500 1683396862.5494
MEM 24.437500 1683396862.6546
MEM 24.437500 1683396862.7597
MEM 24.437500 1683396862.8648
MEM 24.437500 1683396862.9700
MEM 24.437500 1683396863.0738
MEM 24.437500 1683396863.1789
MEM 24.437500 1683396863.2839
MEM 24.437500 1683396863.3890
MEM 24.437500 1683396863.4941
MEM 24.437500 1683396863.5992
MEM 24.437500 1683396863.7043
MEM 24.437500 1683396863.8063
MEM 24.437500 1683396863.9114
MEM 24.437500 1683396864.0165
MEM 24.437500 1683396864.1215
MEM 24.437500 1683396864.2266
MEM 24.437500 1683396864.3317
MEM 24.437500 1683396864.4367
MEM 24.437500 1683396864.5418
MEM 24.437500 1683396864.6478
MEM 24.437500 1683396864.7528
MEM 24.437500 1683396864.8530
MEM 24.437500 1683396864.9581
MEM 24.437500 1683396865.0632
MEM 24.437500 1683396865.1682
MEM 24.437500 1683396865.2734
MEM 24.437500 1683396865.3785
MEM 24.437500 1683396865.4835
MEM 24.437500 1683396865.5886
MEM 24.437500 1683396865.6937
MEM 24.437500 1683396865.7987
MEM 24.437500 1683396865.9003
MEM 24.437500 1683396866.0053
MEM 24.437500 1683396866.1104
MEM 24.437500 1683396866.2154
MEM 24.437500 1683396866.3205
MEM 24.437500 1683396866.4256
MEM 24.437500 1683396866.5306
MEM 24.437500 1683396866.6341
MEM 24.437500 1683396866.7390
MEM 24.437500 1683396866.8440
MEM 24.437500 1683396866.9490
MEM 24.437500 1683396867.0542
MEM 24.437500 1683396867.1592
MEM 24.437500 1683396867.2643
MEM 24.437500 1683396867.3694
MEM 24.437500 1683396867.4744
MEM 24.437500 1683396867.5795
MEM 24.437500 1683396867.6846
MEM 24.437500 1683396867.7896
MEM 24.437500 1683396867.8946
MEM 24.437500 1683396867.9997
MEM 24.437500 1683396868.1046
MEM 24.437500 1683396868.2097
MEM 24.437500 1683396868.3147
MEM 24.437500 1683396868.4198
MEM 24.437500 1683396868.5248
MEM 24.437500 1683396868.6299
MEM 24.437500 1683396868.7350
MEM 24.437500 1683396868.8400
MEM 24.437500 1683396868.9451
MEM 24.437500 1683396869.0501
MEM 24.437500 1683396869.1503
MEM 24.437500 1683396869.2553
MEM 24.437500 1683396869.3574
MEM 24.437500 1683396869.4625
MEM 24.437500 1683396869.5676
MEM 24.437500 1683396869.6727
MEM 24.437500 1683396869.7777
MEM 24.437500 1683396869.8828
MEM 24.437500 1683396869.9879
MEM 24.437500 1683396870.0929
MEM 24.437500 1683396870.1980
MEM 24.437500 1683396870.3030
MEM 24.437500 1683396870.4081
MEM 24.437500 1683396870.5132
MEM 24.437500 1683396870.6182
MEM 24.437500 1683396870.7233
MEM 24.437500 1683396870.8283
MEM 24.437500 1683396870.9333
MEM 24.437500 1683396871.0375
MEM 24.437500 1683396871.1426
MEM 24.437500 1683396871.2476
MEM 24.437500 1683396871.3527
MEM 24.437500 1683396871.4577
MEM 24.437500 1683396871.5628
MEM 24.437500 1683396871.6679
MEM 24.437500 1683396871.7730
MEM 24.437500 1683396871.8780
MEM 24.437500 1683396871.9802
MEM 24.437500 1683396872.0852
MEM 24.437500 1683396872.1903
MEM 24.437500 1683396872.2953
MEM 24.437500 1683396872.4004
MEM 24.437500 1683396872.5054
MEM 24.437500 1683396872.6064
MEM 24.437500 1683396872.7112
MEM 24.437500 1683396872.8163
MEM 24.437500 1683396872.9184
MEM 24.437500 1683396873.0235
MEM 24.437500 1683396873.1286
MEM 24.437500 1683396873.2336
MEM 24.437500 1683396873.3378
MEM 24.437500 1683396873.4428
MEM 24.437500 1683396873.5479
MEM 24.437500 1683396873.6531
MEM 24.437500 1683396873.7581
MEM 24.437500 1683396873.8609
MEM 24.437500 1683396873.9659
MEM 24.437500 1683396874.0709
MEM 24.437500 1683396874.1760
MEM 24.437500 1683396874.2810
MEM 24.437500 1683396874.3861
MEM 24.437500 1683396874.4911
MEM 24.437500 1683396874.5961
MEM 24.437500 1683396874.7011
MEM 24.437500 1683396874.8062
MEM 24.437500 1683396874.9113
MEM 24.437500 1683396875.0157
MEM 24.437500 1683396875.1206
MEM 24.437500 1683396875.2257
MEM 24.437500 1683396875.3308
MEM 24.437500 1683396875.4359
MEM 24.437500 1683396875.5409
MEM 24.437500 1683396875.6459
MEM 24.437500 1683396875.7510
MEM 24.437500 1683396875.8561
MEM 24.437500 1683396875.9612
MEM 24.437500 1683396876.0628
MEM 24.437500 1683396876.1678
MEM 24.437500 1683396876.2679
MEM 24.437500 1683396876.3730
MEM 24.437500 1683396876.4770
MEM 24.437500 1683396876.5770
MEM 24.437500 1683396876.6820
MEM 24.437500 1683396876.7871
MEM 24.437500 1683396876.8923
MEM 24.437500 1683396876.9973
MEM 24.437500 1683396877.1023
MEM 24.437500 1683396877.2074
MEM 24.437500 1683396877.3125
MEM 24.437500 1683396877.4171
MEM 24.437500 1683396877.5222
MEM 24.437500 1683396877.6272
MEM 24.437500 1683396877.7323
MEM 24.437500 1683396877.8373
MEM 24.437500 1683396877.9425
MEM 24.437500 1683396878.0476
MEM 24.437500 1683396878.1528
MEM 24.437500 1683396878.2579
MEM 24.437500 1683396878.3631
MEM 24.437500 1683396878.4682
MEM 24.437500 1683396878.5734
MEM 24.437500 1683396878.6786
MEM 24.437500 1683396878.7814
MEM 24.437500 1683396878.8866
MEM 24.437500 1683396878.9917
MEM 24.437500 1683396879.0968
MEM 24.437500 1683396879.2018
MEM 24.437500 1683396879.3069
MEM 24.437500 1683396879.4120
MEM 24.437500 1683396879.5138
MEM 24.437500 1683396879.6189
MEM 24.437500 1683396879.7239
MEM 24.437500 1683396879.8290
MEM 24.437500 1683396879.9340
MEM 24.437500 1683396880.0392
MEM 24.437500 1683396880.1443
MEM 24.437500 1683396880.2493
MEM 24.437500 1683396880.3543
MEM 24.437500 1683396880.4594
MEM 24.453125 1683396880.5645
MEM 24.468750 1683396880.6696
MEM 24.484375 1683396880.7746
MEM 24.500000 1683396880.8788
MEM 24.515625 1683396880.9800
MEM 24.515625 1683396881.0851
MEM 24.531250 1683396881.1902
MEM 24.546875 1683396881.2952
MEM 24.593750 1683396881.3953
MEM 24.609375 1683396881.4954
MEM 24.625000 1683396881.6005
MEM 24.640625 1683396881.7056
MEM 24.671875 1683396881.8106
MEM 24.671875 1683396881.9157
MEM 24.687500 1683396882.0207
MEM 24.718750 1683396882.1258
MEM 24.750000 1683396882.2309
MEM 24.765625 1683396882.3359
MEM 24.781250 1683396882.4409
MEM 24.796875 1683396882.5460
MEM 24.828125 1683396882.6511
MEM 24.843750 1683396882.7561
MEM 24.843750 1683396882.8612
MEM 24.875000 1683396882.9662
MEM 24.906250 1683396883.0669
MEM 24.921875 1683396883.1720
MEM 24.953125 1683396883.2770
MEM 24.968750 1683396883.3789
MEM 25.000000 1683396883.4840
MEM 25.015625 1683396883.5891
MEM 25.015625 1683396883.6930
MEM 25.031250 1683396883.7981
MEM 25.062500 1683396883.9031
MEM 25.078125 1683396884.0081
MEM 25.093750 1683396884.1132
MEM 25.109375 1683396884.2183
MEM 25.156250 1683396884.3233
MEM 25.203125 1683396884.4284
MEM 25.218750 1683396884.5334
MEM 25.218750 1683396884.6386
MEM 25.250000 1683396884.7431
MEM 25.265625 1683396884.8482
MEM 25.281250 1683396884.9532
MEM 25.296875 1683396885.0583
MEM 25.328125 1683396885.1633
MEM 25.343750 1683396885.2684
MEM 25.359375 1683396885.3734
MEM 25.390625 1683396885.4785
MEM 25.421875 1683396885.5835
MEM 25.421875 1683396885.6885
MEM 25.437500 1683396885.7936
MEM 25.468750 1683396885.8986
MEM 25.500000 1683396886.0037
MEM 25.515625 1683396886.1087
MEM 25.531250 1683396886.2098
MEM 25.546875 1683396886.3149
